Real_GDP,Real_Disposable_Income,Personal_Consumption,Unemployment_Rate,Nonfarm_Payrolls,Avg_Hourly_Earnings,U6_Unemployment,Job_Openings,Labor_Force_Participation,CPI_All_Items,Core_CPI,Producer_Price_Index,Core_PCE_Price_Index,Federal_Funds_Rate,10Y_Treasury_Yield,M2_Money_Stock,Fed_Balance_Sheet,3M_Treasury_Yield,30Y_Mortgage_Rate,10Y_Inflation_Expect,S&P_500_Index,VIX_Index,Dollar_Index,USD_EUR_Rate,Industrial_Production,Capacity_Utilization,Business_Equipment_Prod,Energy_Production,Consumer_Goods_Prod,New_Manufacturing_Orders,Consumer_Sentiment,Retail_Sales,Personal_Saving_Rate,Consumer_Credit,Retail_Sales_Food_Services,Housing_Starts,Case_Shiller_Home_Price,Median_Home_Price,New_Home_Sales,Trade_Balance,Exports,Imports,Commercial_Loans,C&I_Loans,Excess_Reserves,Crude_Oil_Price,NY_Unemployment,CA_Commercial_Loans,Leading_Index,Financial_Stress_Index
2182.681,15248.0,,,43566.0,,,,,21.7,,24.833,,,,,,,,,,,,,13.7361,,12.3046,,19.9883,,,,,10068.35,,,,,,,,,6.9587,,,,,,,
2176.892,15139.0,,,43649.0,,,,,22.01,,25.033,,,,,,,,,,,,,13.745,,12.6448,,19.8463,,,,,10902.63,,,,,,,,,7.4675,,,,,,,
2172.432,15039.0,,,43969.0,,,,,22.49,,25.667,,,,,,,,,,,,,13.7719,,12.4872,,20.0657,,,,,11602.43,,,,,,,,,7.9796,,,,,,,
2206.452,15204.0,,,44492.0,,,,,23.127,,26.767,,,,,,,,,,,,,14.1482,,14.0885,,20.7754,,,,,12531.87,,,,,,,,,8.4816,,,,,,,
2239.682,15371.0,,3.7,44632.0,,64.4,,62.6,23.617,,27.367,,,,,,,,,,,,,14.2916,,13.2754,,20.7625,,,,,13558.04,,,,,,,,,8.9553,,,,,,,
2276.69,15563.0,,3.7,44736.0,,64.7,,62.9,23.993,,27.533,,,,,,,,,,,,,14.4439,,13.1343,,20.8528,,,,,14513.21,,,,,,,,,9.3765,,,,,,,
2289.77,15585.0,,3.8,45211.0,,65.3,,63.4,24.397,,28.1,,,,,,,,,,,,,14.5783,,13.4579,,20.8528,,,,,15262.14,,,,,,,,,9.7142,,,,,,,
2292.364,15530.0,,3.8,45156.0,,65.0,,63.1,24.173,,27.733,,,,,,,,,,,,,14.426,,13.8977,,20.7109,,,,,15662.07,,,,,,,,,9.973,,,,,,,
2260.807,15250.0,,4.7,44468.0,,64.9,,62.6,23.943,,26.967,,,,,,,,,,,,,13.9601,,12.1885,,20.2463,,,,,16001.31,,,,,,,,,10.1879,,,,,,,
2253.128,15137.0,,5.9,43986.0,,65.2,,62.1,23.917,,26.267,,,,,,,,,,,,,13.521,,12.0723,,20.3625,,,,,16637.41,,,,,,,,,10.3265,,,,,,,
2276.424,15228.0,,6.7,43645.0,,65.3,,61.9,23.717,,26.033,,,,,,,,,,,,,13.5479,,12.9518,,20.9432,,,,,17370.58,,,,,,,,,10.493,,,,,,,
2257.352,15032.0,,7.0,43235.0,,65.4,,61.7,23.66,,25.967,,,,,,,,,,,,,13.4852,,13.74,,21.0077,,,,,18409.84,,,,,,,,,10.6835,,,,,,,
2346.104,15559.0,,6.4,43592.0,,65.0,,61.6,23.587,,26.033,,,,,,,,,,,,,14.193,,14.7025,,21.7819,,,,,19385.78,,,,,,,,,11.0313,,,,,,,
2417.682,15977.0,,5.6,44728.0,,65.7,,62.8,23.767,,26.367,,,,,,,,,,,,,15.3848,,16.6191,,23.2659,,,,,20629.63,,,,,,,,,11.4697,,,,,,,
2511.127,16524.0,,4.6,46028.0,,65.8,,63.4,24.203,,27.867,,,,,,,,,,,,,16.6213,,18.1209,,24.8918,,,,,22662.04,,,,,,,,,11.9436,,,,,,,
2559.214,16764.0,,4.2,46781.0,,65.9,,63.6,24.693,,29.1,,,,,,,,,,,,,16.908,,18.6436,,24.595,,,,,23243.29,,,,,,,,,12.4533,,,,,,,
2593.967,16922.0,,3.5,47579.0,,66.0,,64.1,25.697,,30.767,,,,,,,,,,,,,17.2485,,17.7558,,24.8273,,,,,24062.66,,,,,,,,,12.8933,,,,,,,
2638.898,17147.0,,3.1,47959.0,,65.9,,64.2,25.947,,30.667,,,,,,,,,,,,,17.3023,,15.4658,,23.7304,,,,,23970.69,,,,,,,,,13.1979,,,,,,,
2693.259,17420.0,,3.2,48009.0,,66.3,,64.5,25.933,,30.167,,,,,,,,,,,,,16.8901,,12.4457,,22.3497,,,,,23914.99,,,,,,,,,13.4614,,,,,,,
2699.156,17375.0,,3.4,48156.0,,66.7,,64.8,26.317,,30.1,,,,,,,,,,,,,17.0065,,13.5077,,22.4916,,,,,24518.57,,,,,,,,,13.7119,,,,,,,
2727.954,17490.0,,3.1,48441.0,,66.8,,65.2,26.417,,29.867,,,,,,,,,,,,,17.4008,,13.5907,,23.0594,,,,,25049.81,,,,,,,,,13.7093,,,,,,,
2733.8,17459.0,,3.0,48515.0,,66.6,,65.0,26.487,,29.567,,,,,,,,,,,,,17.1499,,13.4081,,23.382,,,,,26152.32,,,,,,,,,14.0049,,,,,,,
2753.517,17509.0,,3.2,48796.0,,66.5,,64.8,26.667,,29.667,,,,,,,,,,,,,17.6517,,13.3002,,23.8982,,,,,27516.26,,,,,,,,,14.279,,,,,,,
2843.941,18001.0,,2.8,49860.0,,66.6,,65.1,26.697,,29.3,,,,,,,,,,,,,18.9151,,16.9427,,25.1886,,,,,29077.08,,,,,,,,,14.533,,,,,,,
2896.811,18268.0,,2.7,50319.0,,67.3,,65.8,26.62,,29.133,,,,,,,,,,,,,19.2914,,17.9218,,25.7306,,90.7,,,31001.8,,,,,,,,,14.8711,,,,,,,
2919.206,18341.0,,2.6,50481.0,,66.6,,65.2,26.72,,29.033,,,,,,,,,,,,,19.5602,,17.341,,25.6918,,,,,32350.25,,,,,,,,,15.15,,,,,,,
2902.785,18155.0,,2.7,50464.0,,66.6,,65.2,26.843,,29.367,,,,,,,,,,,,,19.5781,,16.1379,,25.2918,,80.8,,,33036.22,,,,,,,,,15.3614,,,,,,,
2858.845,17797.0,,3.7,49950.0,,67.0,,65.0,26.89,,29.167,,,,,,,,,,,,,18.6553,,15.6733,,24.6208,,80.7,,,33579.17,,,,,,,,,15.5843,,,,,,,
2845.192,17636.0,,5.3,49336.0,,67.2,,64.3,26.953,,29.333,,,,,,1.06,,,,,,,18.0639,,15.192,,24.5434,,82.0,,,33757.97,,,,,,,,,15.7389,,,,,,,
2848.305,17584.0,,5.8,49013.0,,67.2,,63.8,26.91,,29.333,,,,,,0.79,,,,,,,17.9922,,15.3662,,24.8144,,82.9,,,33742.23,,,,,,,,,16.0129,,,,,,,
2880.482,17701.0,,6.0,48849.0,,67.0,,63.5,26.84,,29.267,,1.03,,,,0.88,,,,,,,18.0818,,14.8684,,25.1499,,,,,34068.01,,,,,,,,,16.445,,,,,,,
2936.852,17960.0,,5.3,49151.0,,66.9,,63.9,26.757,,29.1,,0.99,,,,1.03,,,,,,,18.5836,,16.8432,,25.9112,,87.0,,,34666.73,,,,,,,,,16.9817,,,,,,,
3020.746,18396.0,,4.7,49701.0,,67.1,,64.5,26.793,,29.233,,1.34,,,,1.23,,,,,,,19.5871,,18.9008,,27.2274,,95.9,,,35942.75,,,,,,,1174933333.3333333,896566666.6666667,17.6475,,,,,,101.6027,
3069.91,18621.0,,4.4,50517.0,,67.4,,65.0,26.757,,29.233,,1.5,,,,1.48,,,,,,,20.4383,,19.1249,,27.9758,,99.1,,,37836.22,,,,,,,1138300000.0,922733333.3333333,18.3023,,,,,,102.1574,
3111.379,18787.0,,4.1,51121.0,,67.9,,65.7,26.777,,29.433,,1.94,,,,1.86,,,,,,,20.752,,18.3283,,28.1307,,,,,39718.8,,,,,,,1224566666.6666667,965366666.6666667,18.9356,,,,,,102.20413333333332,
3130.068,18808.0,,4.2,51609.0,,68.0,,65.7,26.857,,29.533,,2.36,,,,2.34,,,,,,,21.2447,,20.1869,,28.9049,,99.7,,,41356.5,,,,,,,1233833333.3333333,1020433333.3333333,19.4169,,,,,,102.00686666666668,
3117.922,18658.0,,4.0,52145.0,,68.1,,65.9,26.86,,29.8,,2.48,,,,2.33,,,,,,,21.3254,,19.3655,,29.0082,,,,,42628.82,,,,,,,1308900000.0,1047433333.3333333,19.7782,,,,,,101.2819,
